RowNumber;Surname;CreditScore;Geography;Gender;Age;Tenure;Balance;NumOfProducts;HasCrCard;IsActiveMember;EstimatedSalary;Exited
1;Hargrave;619;France;Female;42;2;0;1;1;1;101348,88;Yes
2;Hill;608;Spain;Female;41;1;83807,86;1;0;1;112542,58;No
3;Onio;502;France;Female;42;8;159660,8;3;1;0;113931,57;Yes
4;Boni;699;France;Female;39;1;0;2;0;0;93826,63;No
5;Mitchell;850;Spain;Female;43;2;125510,82;1;1;1;79084,1;No
6;Chu;645;Spain;Male;44;8;113755,78;2;1;0;149756,71;Yes
7;Bartlett;822;France;Male;50;7;0;2;1;1;10062,8;No
8;Obinna;376;Germany;Female;29;4;115046,74;4;1;0;119346,88;Yes
9;He;501;France;Male;44;4;142051,07;2;0;1;74940,5;No
10;H?;684;France;Male;27;2;134603,88;1;1;1;71725,73;No
11;Bearce;528;France;Male;31;6;102016,72;2;0;0;80181,12;No
12;Andrews;497;Spain;Male;24;3;0;2;1;0;76390,01;No
13;Kay;476;France;Female;0;10;0;2;1;0;26260,98;No
14;Chin;549;France;Female;25;5;0;2;0;0;190857,79;No
15;Scott;635;Spain;Female;35;7;0;2;1;1;65951,65;No
16;Goforth;616;Germany;Male;45;3;143129,41;2;0;1;64327,26;No
17;Romeo;653;Germany;Male;58;1;132602,88;1;1;0;5097,67;Yes
18;Henderson;549;Spain;Female;24;9;0;2;1;1;14406,41;No
19;Muldrow;587;Spain;Male;45;6;0;1;0;0;158684,81;No
20;Hao;;France;Female;24;6;0;2;1;1;54724,03;No
21;McDonald;732;France;Male;41;8;0;2;1;1;170886,17;No
22;Dellucci;636;Spain;Female;32;8;0;2;1;0;138555,46;No
23;Gerasimov;510;Spain;;38;4;0;1;1;0;118913,53;Yes
24;Mosman;669;France;Male;46;3;0;2;0;1;8487,75;No
25;Yen;846;France;Female;0;5;0;1;1;1;187616,16;No
26;Maclean;577;France;Male;25;3;0;2;0;1;124508,29;No
27;Young;756;Germany;Male;36;2;136815,64;1;1;1;170041,95;No
28;Nebechi;571;France;Male;44;9;0;2;0;0;38433,35;No
29;McWilliams;574;Germany;Female;43;3;141349,43;1;1;1;100187,43;No
30;Lucciano;411;France;Male;29;0;59697,17;2;1;1;53483,21;No
31;Azikiwe;591;Spain;Female;39;3;0;3;1;0;140469,38;Yes
32;Odinakachukwu;533;France;Male;36;7;85311,7;1;0;1;156731,91;No
33;Sanderson;553;Germany;Male;41;9;110112,54;2;0;0;81898,81;No
34;Maggard;520;Spain;Female;42;6;0;2;1;1;34410,55;No
35;Clements;722;Spain;Female;29;9;0;2;1;1;142033,07;No
36;Lombardo;475;France;Female;45;0;134264,04;1;1;0;27822,99;Yes
37;Watson;490;Spain;Male;31;3;145260,23;1;0;1;114066,77;No
38;Lorenzo;804;Spain;Male;33;7;76548,6;1;0;1;98453,45;No
39;Armstrong;850;France;Male;36;7;0;1;1;1;40812,9;No
40;Cameron;582;Germany;Male;41;6;70349,48;2;0;1;178074,04;No
41;Hsiao;472;Spain;Male;40;4;0;1;1;0;70154,22;No
42;Clarke;465;France;Female;51;8;122522,32;1;0;0;181297,65;Yes
43;Osborne;556;France;Female;61;2;117419,35;1;1;1;94153,83;No
44;Lavine;834;France;Female;49;2;131394,56;1;0;0;194365,76;Yes
45;Bianchi;660;Spain;Female;61;5;155931,11;1;1;1;158338,39;No
46;Tyler;776;Germany;Female;32;4;109421,13;2;1;1;126517,46;No
47;Martin;829;Germany;Female;27;9;112045,67;1;1;1;119708,21;Yes
48;Okagbue;637;Germany;Female;39;9;137843,8;1;1;1;117622,8;Yes
49;Yin;550;Germany;Male;38;2;103391,38;1;0;1;90878,13;No
50;Buccho;776;Germany;Female;37;2;103769,22;2;1;0;194099,12;No
51;Chidiebele;698;Germany;Male;44;10;116363,37;2;1;0;198059,16;No
52;Trevisani;585;Germany;Male;36;5;146050,97;2;0;0;86424,57;No
53;O'Brien;788;France;Female;33;5;0;2;0;0;116978,19;No
54;Parkhill;655;Germany;Male;41;8;125561,97;1;0;0;164040,94;Yes
55;Yoo;601;Germany;Male;42;1;98495,72;1;1;0;40014,76;Yes
56;Phillipps;619;France;Male;43;1;125211,92;1;1;1;113410,49;No
57;Tsao;656;France;Male;45;5;127864,4;1;1;0;87107,57;No
58;Endrizzi;725;Germany;Male;19;0;75888,2;1;0;0;45613,75;No
59;T'ien;511;Spain;Female;0;4;0;1;1;0;1643,11;Yes
60;Velazquez;614;France;Male;0;4;40685,92;1;1;1;46775,28;No
61;Hunter;742;Germany;Male;35;5;136857;1;0;0;84509,57;No
62;Clark;687;Germany;Female;27;9;152328,88;2;0;0;126494,82;No
63;Jeffrey;555;Spain;Male;33;1;56084,69;2;0;0;178798,13;No
64;Pirozzi;684;Spain;Male;56;8;78707,16;1;1;1;99398,36;No
65;Jackson;603;Germany;Male;26;4;109166,37;1;1;1;92840,67;No
66;Hammond;751;Germany;Female;36;6;169831,46;2;1;1;27758,36;No
67;Brownless;581;Germany;Female;34;1;101633,04;1;1;0;110431,51;No
68;Chibugo;735;Germany;Male;43;10;123180,01;2;1;1;196673,28;No
69;Glauert;661;Germany;Female;35;5;150725,53;2;0;1;113656,85;No
70;Pisano;675;France;Female;21;8;98373,26;1;1;0;18203;No
71;Konovalova;738;Germany;Male;58;2;133745,44;4;1;0;28373,86;Yes
72;McKee;813;France;Male;29;6;0;1;1;0;33953,87;No
73;Palermo;657;Spain;Female;37;0;163607,18;1;0;1;44203,55;No
74;Ballard;604;Germany;Female;25;5;157780,84;2;1;1;58426,81;No
75;Wallace;519;France;Male;36;9;0;2;0;1;145562,4;No
76;Cavenagh;735;France;Female;21;1;178718,19;2;1;0;22388;No
77;Hu;664;France;Male;55;8;0;2;1;1;139161,64;No
78;Read;678;France;Female;32;9;0;1;1;1;148210,64;No
79;Bushell;757;Spain;Male;33;5;77253,22;1;0;1;194239,63;No
80;Postle;416;Germany;Female;41;10;122189,66;2;1;0;98301,61;No
81;Buley;665;France;Female;34;1;96645,54;2;0;0;171413,66;No
82;Leonard;777;France;Female;32;2;0;1;1;0;136458,19;Yes
83;Mills;543;France;Female;36;3;0;2;0;0;26019,59;No
84;Onyeorulu;506;France;Female;34;4;90307,62;1;1;1;159235,29;No
85;Beit;493;France;Female;46;4;0;2;1;0;1907,66;No
86;Ndukaku;652;Spain;Female;75;10;0;2;1;1;114675,75;No
87;Gant;750;Spain;Male;22;3;121681,82;1;1;0;128643,35;Yes
88;Rowley;729;France;Male;30;9;0;2;1;0;151869,35;No
89;Sharpe;646;France;Female;46;4;0;3;1;0;93251,42;Yes
90;Osborne;635;Germany;Female;28;3;81623,67;2;1;1;156791,36;No
